Sample	Median length	Mean length	Read N50	Median Qual	Mean Qual	# Reads (K)	Total Bases (Mb)
S3155_001_1_3_Filtered	732.0	731.4	732.0	27.0	24.2	217.024	158.7362
S3155_002_2_4_Filtered	733.0	732.6	733.0	28.4	25.1	226.857	166.188765
S3155_003_3_6_Filtered	733.0	732.8	733.0	30.1	26.0	249.16	182.589104
S3155_004_4_9_Filtered	739.0	738.1	739.0	29.1	25.3	173.066	127.737792
S3155_005_5_10_Filtered	733.0	732.6	733.0	29.3	25.5	165.55700000000002	121.28827799999999
S3155_006_6_11_Filtered	733.0	732.8	733.0	29.6	25.7	160.439	117.57550099999999
S3155_007_7_13_Filtered	733.0	732.7	733.0	29.1	25.5	162.869	119.332281
S3155_008_8_14_Filtered	734.0	735.8	734.0	28.1	24.8	2.433	1.790276
S3155_009_9_15_Filtered	732.0	730.9	732.0	27.2	24.4	238.853	174.570257
S3155_010_10_16_Filtered	733.0	732.7	733.0	29.2	25.5	259.08	189.815452
S3155_011_11_17_Filtered	733.0	733.0	733.0	28.4	25.2	149.12800000000001	109.30467399999999
S3155_012_12_18_Filtered	733.0	733.1	733.0	28.8	25.4	227.65200000000002	166.891697
S3155_013_13_19_Filtered	733.0	732.4	733.0	28.3	25.2	244.882	179.355896
S3155_014_14_21_Filtered	730.0	729.4	730.0	28.9	25.3	227.80100000000002	166.163256
S3155_015_15_22_Filtered	733.0	732.3	733.0	28.7	25.5	270.168	197.849951
S3155_016_16_23_Filtered	733.0	732.8	733.0	29.5	25.8	217.55700000000002	159.423947
S3155_017_17_25_Filtered	731.0	720.9	731.0	29.4	25.7	117.61	84.779173
S3155_018_18_26_Filtered	733.0	732.7	733.0	27.9	24.9	263.444	193.030719
S3155_019_19_27_Filtered	733.0	731.9	733.0	29.1	25.5	229.814	168.205995
S3155_020_20_28_Filtered	733.0	732.7	733.0	30.1	26.0	234.51	171.827386
S3155_021_21_29_Filtered	732.0	731.4	732.0	27.6	24.7	238.26	174.253416
S3155_022_22_30_Filtered	733.0	731.8	733.0	28.9	25.4	246.437	180.332986
S3155_023_23_41_Filtered	733.0	732.2	733.0	26.6	24.1	251.637	184.24012299999998
S3155_024_24_42_Filtered	730.0	733.4	731.0	29.2	25.6	136.458	100.071806
S3155_PK_COX_Filtered	733.0	733.5	733.0	27.7	24.6	299.647	219.80002499999998
