Sample	Reads >Q30	Reads Q25-30	Reads Q20-25	Reads Q15-20
S3155_001_1_3_Filtered	69652.0	68973.0	58589.0	19810.0
S3155_002_2_4_Filtered	92624.0	68884.0	49628.0	15721.0
S3155_003_3_6_Filtered	125791.0	66474.0	43502.0	13393.0
S3155_004_4_9_Filtered	78115.0	47675.0	35575.0	11701.0
S3155_005_5_10_Filtered	75848.0	47203.0	32163.0	10343.0
S3155_006_6_11_Filtered	76703.0	44686.0	29531.0	9519.0
S3155_007_7_13_Filtered	73805.0	46167.0	32683.0	10214.0
S3155_008_8_14_Filtered	929.0	734.0	573.0	197.0
S3155_009_9_15_Filtered	77775.0	77076.0	64099.0	19903.0
S3155_010_10_16_Filtered	117365.0	73814.0	51345.0	16556.0
S3155_011_11_17_Filtered	60741.0	46112.0	32182.0	10093.0
S3155_012_12_18_Filtered	97905.0	68757.0	46756.0	14234.0
S3155_013_13_19_Filtered	99001.0	75335.0	54331.0	16215.0
S3155_014_14_21_Filtered	99614.0	66573.0	46604.0	15010.0
S3155_015_15_22_Filtered	115161.0	83269.0	55920.0	15818.0
S3155_016_16_23_Filtered	102873.0	62096.0	40648.0	11940.0
S3155_017_17_25_Filtered	54891.0	33200.0	22492.0	7027.0
S3155_018_18_26_Filtered	100465.0	81319.0	62368.0	19292.0
S3155_019_19_27_Filtered	102952.0	66457.0	46347.0	14058.0
S3155_020_20_28_Filtered	117975.0	63221.0	40562.0	12752.0
S3155_021_21_29_Filtered	83158.0	78148.0	58358.0	18596.0
S3155_022_22_30_Filtered	108145.0	71120.0	51236.0	15936.0
S3155_023_23_41_Filtered	69422.0	85886.0	74114.0	22215.0
S3155_024_24_42_Filtered	62118.0	40227.0	26215.0	7898.0
S3155_PK_COX_Filtered	110984.0	91311.0	72762.0	24590.0
