sample	reads_after_nanofilt
S3155_001_1_3_Filtered	217024
S3155_002_2_4_Filtered	226857
S3155_003_3_6_Filtered	249160
S3155_004_4_9_Filtered	173066
S3155_005_5_10_Filtered	165557
S3155_006_6_11_Filtered	160439
S3155_007_7_13_Filtered	162869
S3155_008_8_14_Filtered	2433
S3155_009_9_15_Filtered	238853
S3155_010_10_16_Filtered	259080
S3155_011_11_17_Filtered	149128
S3155_012_12_18_Filtered	227652
S3155_013_13_19_Filtered	244882
S3155_014_14_21_Filtered	227801
S3155_015_15_22_Filtered	270168
S3155_016_16_23_Filtered	217557
S3155_017_17_25_Filtered	117610
S3155_018_18_26_Filtered	263444
S3155_019_19_27_Filtered	229814
S3155_020_20_28_Filtered	234510
S3155_021_21_29_Filtered	238260
S3155_022_22_30_Filtered	246437
S3155_023_23_41_Filtered	251637
S3155_024_24_42_Filtered	136458
S3155_PK_COX_Filtered	299647
