query	db_used	method	pident	evalue	bitscore	alignment_length	accession	staxids	sscinames	stitle	taxonomy	kingdom	phylum	class	order	family	genus	species	kingdom_taxid	phylum_taxid	class_taxid	order_taxid	family_taxid	genus_taxid	species_taxid
consensus_cl_id_217_total_supporting_reads_56746	NT	taxdump	100.0	0.0	1208	654	gi|930617789|gb|KT705746.1|	145427		Succinea putris voucher BIOUG24022-F04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	Metazoa;Mollusca;Gastropoda;Stylommatophora;Succineidae;Succinea;Succinea putris	Metazoa	Mollusca	Gastropoda	Stylommatophora	Succineidae	Succinea	Succinea putris	33208	6447	6448	6527	73114	145426	145427
consensus_cl_id_217_total_supporting_reads_56746	NT	taxdump	100.0	0.0	1206	653	gi|930619189|gb|KT706446.1|	145427		Succinea putris voucher BIOUG24036-F12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	Metazoa;Mollusca;Gastropoda;Stylommatophora;Succineidae;Succinea;Succinea putris	Metazoa	Mollusca	Gastropoda	Stylommatophora	Succineidae	Succinea	Succinea putris	33208	6447	6448	6527	73114	145426	145427
consensus_cl_id_217_total_supporting_reads_56746	NT	taxdump	99.695	0.0	1199	655	gi|2842954627|gb|PQ526498.1|	145427		Succinea putris isolate H231 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	Metazoa;Mollusca;Gastropoda;Stylommatophora;Succineidae;Succinea;Succinea putris	Metazoa	Mollusca	Gastropoda	Stylommatophora	Succineidae	Succinea	Succinea putris	33208	6447	6448	6527	73114	145426	145427
consensus_cl_id_217_total_supporting_reads_56746	NT	taxdump	100.0	0.0	1192	645	gi|930617357|gb|KT705530.1|	145427		Succinea putris voucher BIOUG24036-F05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	Metazoa;Mollusca;Gastropoda;Stylommatophora;Succineidae;Succinea;Succinea putris	Metazoa	Mollusca	Gastropoda	Stylommatophora	Succineidae	Succinea	Succinea putris	33208	6447	6448	6527	73114	145426	145427
consensus_cl_id_217_total_supporting_reads_56746	NT	taxdump	99.69	0.0	1182	646	gi|1489810739|gb|MH352219.1|	145427		Succinea putris isolate 39-15 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	Metazoa;Mollusca;Gastropoda;Stylommatophora;Succineidae;Succinea;Succinea putris	Metazoa	Mollusca	Gastropoda	Stylommatophora	Succineidae	Succinea	Succinea putris	33208	6447	6448	6527	73114	145426	145427
consensus_cl_id_217_total_supporting_reads_56746	NT	taxdump	98.626	0.0	1160	655	gi|2842954629|gb|PQ526499.1|	145427		Succinea putris isolate H402 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	Metazoa;Mollusca;Gastropoda;Stylommatophora;Succineidae;Succinea;Succinea putris	Metazoa	Mollusca	Gastropoda	Stylommatophora	Succineidae	Succinea	Succinea putris	33208	6447	6448	6527	73114	145426	145427
consensus_cl_id_217_total_supporting_reads_56746	NT	taxdump	100.0	0.0	1153	624	gi|930619995|gb|KT706849.1|	145427		Succinea putris voucher BIOUG24036-F07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	Metazoa;Mollusca;Gastropoda;Stylommatophora;Succineidae;Succinea;Succinea putris	Metazoa	Mollusca	Gastropoda	Stylommatophora	Succineidae	Succinea	Succinea putris	33208	6447	6448	6527	73114	145426	145427
consensus_cl_id_217_total_supporting_reads_56746	NT	taxdump	98.321	0.0	1149	655	gi|1316018852|gb|MF544587.1|	145427		Succinea putris voucher BIOUG07961-B11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	Metazoa;Mollusca;Gastropoda;Stylommatophora;Succineidae;Succinea;Succinea putris	Metazoa	Mollusca	Gastropoda	Stylommatophora	Succineidae	Succinea	Succinea putris	33208	6447	6448	6527	73114	145426	145427
consensus_cl_id_217_total_supporting_reads_56746	NT	taxdump	98.321	0.0	1149	655	gi|1316018098|gb|MF544210.1|	145427		Succinea putris voucher BIOUG07961-A11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	Metazoa;Mollusca;Gastropoda;Stylommatophora;Succineidae;Succinea;Succinea putris	Metazoa	Mollusca	Gastropoda	Stylommatophora	Succineidae	Succinea	Succinea putris	33208	6447	6448	6527	73114	145426	145427
consensus_cl_id_217_total_supporting_reads_56746	NT	taxdump	98.321	0.0	1149	655	gi|1316017996|gb|MF544159.1|	145427		Succinea putris voucher BIOUG07961-D02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	Metazoa;Mollusca;Gastropoda;Stylommatophora;Succineidae;Succinea;Succinea putris	Metazoa	Mollusca	Gastropoda	Stylommatophora	Succineidae	Succinea	Succinea putris	33208	6447	6448	6527	73114	145426	145427
